Time,Day,Event,Truck 1,Truck 2,Tank 1,Tank 2,Tank 3,Tank 4,Active Supply Tank,Waiting Tanks At C,Available Trucks At A,Available Trucks At C
36660,26,TRUCK_RETURN_ARRIVED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,SUPPLYING|POINT_C|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"3,4",2,1
36660,26,TANK_FILL_STARTED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,SUPPLYING|POINT_C|Truck:-,FILLING|POINT_A|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"3,4",2,1
36780,26,TANK_FILL_COMPLETED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,SUPPLYING|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"3,4",2,1
36930,26,SUPPLY_STARTED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,SUPPLYING|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,3,4,2,1
36990,26,TANK_EMPTY,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,EMPTY_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,3,4,2,1
37350,27,SUPPLY_STARTED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,EMPTY_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,4,,2,1
37410,27,TANK_EMPTY,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,EMPTY_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,4,,2,1
37440,27,WORKDAY_STARTED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,EMPTY_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,4,,2,
37440,27,TRUCK_RETURN_DEPARTED,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:1,IDLE_AT_A|POINT_A|Tank:-,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:1,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,4,,2,
37530,27,TRUCK_RETURN_ARRIVED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,EMPTY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,4,,"2,1",
37530,27,TANK_FILL_STARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,FILLING|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,4,,"2,1",
37650,27,TANK_FILL_COMPLETED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,4,,"2,1",
37680,27,DISPATCH_READY,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,4,,,
37680,27,TRUCK_DEPARTED,IDLE_AT_A|POINT_A|Tank:-,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:2,READY_AT_A|POINT_A|Truck:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:2,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,4,,,
