Score,Tanks,Truck Heads,Tank Capacity,Tank Duration,Travel Time,Fill Time,Safety Window,Deliveries,Dispatches,Returns,Downtime,Safety Violations,Average Tank Wait,Average Cycle Time,Average Delivery Time,Average Empty Tank Wait
67.22,4,4,520,480,105,90,30,94,97,93,0,0,301.54639175257734,1792.9032258064517,1113.8297872340424,176.1290322580645
66.97,4,4,520,480,75,120,30,94,97,93,0,0,326.5979381443299,1791.6129032258063,1087.340425531915,176.1290322580645
66.95,4,4,520,480,90,90,30,94,97,93,0,0,321.340206185567,1791.9354838709678,1100.4255319148936,183.5483870967742
66.44,4,4,520,480,75,90,30,94,97,93,0,0,365.25773195876286,1790.967741935484,1062.4468085106382,190.96774193548387
65.95,5,4,520,480,105,90,60,100,103,100,0,0,221.79611650485438,2079.45,1489.2,183.45
65.93,5,4,520,480,105,120,60,100,103,100,0,0,238.39805825242718,2080.65,1456.8,168.75
65.67,5,4,520,480,90,90,60,100,103,100,0,0,242.33009708737865,2078.1,1475.4,190.8
65.65,5,4,520,480,90,120,60,100,103,100,0,0,258.93203883495147,2079.3,1443.0,176.1
65.54,5,4,520,480,105,120,30,93,97,93,0,0,285.1546391752577,2228.2258064516127,1566.6129032258063,161.29032258064515
65.39,5,4,520,480,75,90,60,100,103,100,0,0,291.6990291262136,2076.75,1464.0,169.35
65.37,5,4,520,480,75,120,60,100,103,100,0,0,279.4660194174757,2077.95,1429.2,183.45
65.26,5,4,520,480,90,120,30,93,97,93,0,0,304.9484536082474,2227.0967741935483,1553.225806451613,168.70967741935485
65.22,5,4,520,480,105,90,30,93,97,93,0,0,301.54639175257734,2227.5806451612902,1564.6774193548388,176.1290322580645
64.97,5,4,520,480,75,120,30,93,97,93,0,0,326.5979381443299,2225.967741935484,1538.225806451613,176.1290322580645
64.95,5,4,520,480,90,90,30,93,97,93,0,0,321.340206185567,2226.451612903226,1551.2903225806451,183.5483870967742
64.44,5,4,520,480,75,90,30,93,97,93,0,0,365.25773195876286,2225.3225806451615,1513.0645161290322,190.96774193548387
63.95,6,4,520,480,105,90,60,99,103,100,0,0,221.79611650485438,2483.7,1901.3636363636363,183.45
63.93,6,4,520,480,105,120,60,99,103,100,0,0,238.39805825242718,2484.9,1868.6363636363637,168.75
63.67,6,4,520,480,90,90,60,99,103,100,0,0,242.33009708737865,2482.2,1887.5757575757575,190.8
63.65,6,4,520,480,90,120,60,99,103,100,0,0,258.93203883495147,2483.4,1854.8484848484848,176.1
63.54,6,4,520,480,105,120,30,92,97,93,0,0,285.1546391752577,2662.9032258064517,2007.7173913043478,161.29032258064515
63.39,6,4,520,480,75,90,60,99,103,100,0,0,291.6990291262136,2480.7,1876.2121212121212,169.35
63.37,6,4,520,480,75,120,60,99,103,100,0,0,279.4660194174757,2481.9,1841.060606060606,183.45
63.26,6,4,520,480,90,120,30,92,97,93,0,0,304.9484536082474,2661.6129032258063,1994.3478260869565,168.70967741935485
63.22,6,4,520,480,105,90,30,92,97,93,0,0,301.54639175257734,2662.2580645161293,2005.7608695652175,176.1290322580645
63.17,4,5,520,480,105,120,60,101,103,100,0,0,213.93203883495147,1673.55,1065.0,168.75
